quest_id,local_name_ru,local_name_en,faction_id,quest_kind,category_id,description_ru,objective_type,target_id,target_amount,activation_mode,claim_mode,required_quest_id,reward_item_id,reward_amount,reward_item2_id,reward_item2_amount,reward_freight_amount,reward_mastery_amount,reward_reputation_faction_id,reward_reputation_amount,sort_order
fquest_capital_24,Империя: поручение 24,Capital Contract 24,capital,campaign,faction_campaign,"Шаг 24 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,2662,retroactive,manual,fquest_capital_23,solid,29,,,2010,110,capital,104,10024
fquest_capital_25,Империя: поручение 25,Capital Contract 25,capital,campaign,faction_campaign,"Шаг 25 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,3000,retroactive,manual,fquest_capital_24,solid,30,,,2087,113,capital,108,10025
fquest_capital_26,Империя: поручение 26,Capital Contract 26,capital,campaign,faction_campaign,"Шаг 26 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,3338,retroactive,manual,fquest_capital_25,solid,32,,,2163,117,capital,112,10026
fquest_capital_27,Империя: поручение 27,Capital Contract 27,capital,campaign,faction_campaign,"Шаг 27 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,3713,retroactive,manual,fquest_capital_26,solid,33,,,2240,120,capital,116,10027
fquest_capital_28,Империя: поручение 28,Capital Contract 28,capital,campaign,faction_campaign,"Шаг 28 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,4131,retroactive,manual,fquest_capital_27,solid,34,,,2316,124,capital,119,10028
fquest_capital_29,Империя: поручение 29,Capital Contract 29,capital,campaign,faction_campaign,"Шаг 29 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,4596,retroactive,manual,fquest_capital_28,solid,35,,,2393,127,capital,123,10029
fquest_capital_30,Империя: поручение 30,Capital Contract 30,capital,campaign,faction_campaign,"Шаг 30 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,5113,retroactive,manual,fquest_capital_29,solid,36,,,2469,131,capital,127,10030
fquest_capital_31,Империя: поручение 31,Capital Contract 31,capital,campaign,faction_campaign,"Шаг 31 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,5688,retroactive,manual,fquest_capital_30,solid,38,,,2546,134,capital,130,10031
fquest_capital_32,Империя: поручение 32,Capital Contract 32,capital,campaign,faction_campaign,"Шаг 32 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,6329,retroactive,manual,fquest_capital_31,solid,39,,,2622,138,capital,134,10032
fquest_capital_33,Империя: поручение 33,Capital Contract 33,capital,campaign,faction_campaign,"Шаг 33 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,7041,retroactive,manual,fquest_capital_32,solid,40,,,2699,141,capital,138,10033
fquest_capital_34,Империя: поручение 34,Capital Contract 34,capital,campaign,faction_campaign,"Шаг 34 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,7833,retroactive,manual,fquest_capital_33,solid,41,,,2776,144,capital,141,10034
fquest_capital_35,Империя: поручение 35,Capital Contract 35,capital,campaign,faction_campaign,"Шаг 35 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,8715,retroactive,manual,fquest_capital_34,solid,42,capital_rangefinder_prism,2,2852,148,capital,145,10035
fquest_capital_36,Империя: поручение 36,Capital Contract 36,capital,campaign,faction_campaign,"Шаг 36 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,9695,retroactive,manual,fquest_capital_35,solid,43,,,2929,151,capital,149,10036
fquest_capital_37,Империя: поручение 37,Capital Contract 37,capital,campaign,faction_campaign,"Шаг 37 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,10786,retroactive,manual,fquest_capital_36,solid,45,,,3005,155,capital,152,10037
fquest_capital_38,Империя: поручение 38,Capital Contract 38,capital,campaign,faction_campaign,"Шаг 38 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,12000,retroactive,manual,fquest_capital_37,solid,46,,,3082,158,capital,156,10038
fquest_capital_39,Империя: поручение 39,Capital Contract 39,capital,campaign,faction_campaign,"Шаг 39 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,13515,retroactive,manual,fquest_capital_38,solid,47,,,3158,162,capital,160,10039
fquest_capital_40,Империя: поручение 40,Capital Contract 40,capital,campaign,faction_campaign,"Шаг 40 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,15222,retroactive,manual,fquest_capital_39,solid,48,,,3235,165,capital,163,10040
fquest_capital_41,Империя: поручение 41,Capital Contract 41,capital,campaign,faction_campaign,"Шаг 41 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,17145,retroactive,manual,fquest_capital_40,solid,49,,,3311,169,capital,167,10041
fquest_capital_42,Империя: поручение 42,Capital Contract 42,capital,campaign,faction_campaign,"Шаг 42 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,19310,retroactive,manual,fquest_capital_41,solid,51,,,3388,172,capital,171,10042
fquest_capital_43,Империя: поручение 43,Capital Contract 43,capital,campaign,faction_campaign,"Шаг 43 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,21748,retroactive,manual,fquest_capital_42,solid,52,,,3464,176,capital,174,10043
fquest_capital_44,Империя: поручение 44,Capital Contract 44,capital,campaign,faction_campaign,"Шаг 44 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,24495,retroactive,manual,fquest_capital_43,solid,53,,,3541,179,capital,178,10044
fquest_capital_45,Империя: поручение 45,Capital Contract 45,capital,campaign,faction_campaign,"Шаг 45 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,27588,retroactive,manual,fquest_capital_44,solid,54,capital_casemate_insert,2,3617,183,capital,182,10045
fquest_capital_46,Империя: поручение 46,Capital Contract 46,capital,campaign,faction_campaign,"Шаг 46 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,31072,retroactive,manual,fquest_capital_45,solid,55,,,3694,186,capital,185,10046
fquest_capital_47,Империя: поручение 47,Capital Contract 47,capital,campaign,faction_campaign,"Шаг 47 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,34996,retroactive,manual,fquest_capital_46,solid,56,,,3770,190,capital,189,10047
fquest_capital_48,Империя: поручение 48,Capital Contract 48,capital,campaign,faction_campaign,"Шаг 48 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,39416,retroactive,manual,fquest_capital_47,solid,58,,,3847,193,capital,193,10048
fquest_capital_49,Империя: поручение 49,Capital Contract 49,capital,campaign,faction_campaign,"Шаг 49 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,44394,retroactive,manual,fquest_capital_48,solid,59,,,3923,197,capital,196,10049
fquest_capital_50,Империя: поручение 50,Capital Contract 50,capital,campaign,faction_campaign,"Шаг 50 большой цепочки столичной службы: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,capital,50000,retroactive,manual,fquest_capital_49,solid,60,capital_casemate_insert,2,4000,200,capital,200,10050
fquest_wind_houses_01,Ветровые Дома: поручение 01,Wind Houses Contract 01,wind_houses,campaign,faction_campaign,"Шаг 1 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,20,retroactive,manual,,freight,700,,,250,30,wind_houses,20,11001
fquest_wind_houses_02,Ветровые Дома: поручение 02,Wind Houses Contract 02,wind_houses,campaign,faction_campaign,"Шаг 2 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,30,retroactive,manual,fquest_wind_houses_01,freight,849,,,327,33,wind_houses,24,11002
fquest_wind_houses_03,Ветровые Дома: поручение 03,Wind Houses Contract 03,wind_houses,campaign,faction_campaign,"Шаг 3 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,45,retroactive,manual,fquest_wind_houses_02,freight,998,,,403,37,wind_houses,27,11003
fquest_wind_houses_04,Ветровые Дома: поручение 04,Wind Houses Contract 04,wind_houses,campaign,faction_campaign,"Шаг 4 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,67,retroactive,manual,fquest_wind_houses_03,freight,1147,,,480,40,wind_houses,31,11004
fquest_wind_houses_05,Ветровые Дома: поручение 05,Wind Houses Contract 05,wind_houses,campaign,faction_campaign,"Шаг 5 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,100,retroactive,manual,fquest_wind_houses_04,freight,1296,wind_magnetic_coil,1,556,44,wind_houses,35,11005
fquest_wind_houses_06,Ветровые Дома: поручение 06,Wind Houses Contract 06,wind_houses,campaign,faction_campaign,"Шаг 6 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,138,retroactive,manual,fquest_wind_houses_05,freight,1445,,,633,47,wind_houses,38,11006
fquest_wind_houses_07,Ветровые Дома: поручение 07,Wind Houses Contract 07,wind_houses,campaign,faction_campaign,"Шаг 7 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,190,retroactive,manual,fquest_wind_houses_06,freight,1594,,,709,51,wind_houses,42,11007
fquest_wind_houses_08,Ветровые Дома: поручение 08,Wind Houses Contract 08,wind_houses,campaign,faction_campaign,"Шаг 8 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,263,retroactive,manual,fquest_wind_houses_07,freight,1743,,,786,54,wind_houses,46,11008
fquest_wind_houses_09,Ветровые Дома: поручение 09,Wind Houses Contract 09,wind_houses,campaign,faction_campaign,"Шаг 9 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,362,retroactive,manual,fquest_wind_houses_08,freight,1892,,,862,58,wind_houses,49,11009
fquest_wind_houses_10,Ветровые Дома: поручение 10,Wind Houses Contract 10,wind_houses,campaign,faction_campaign,"Шаг 10 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,500,retroactive,manual,fquest_wind_houses_09,freight,2041,wind_turbine_blade,1,939,61,wind_houses,53,11010
fquest_wind_houses_11,Ветровые Дома: поручение 11,Wind Houses Contract 11,wind_houses,campaign,faction_campaign,"Шаг 11 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,563,retroactive,manual,fquest_wind_houses_10,freight,2190,,,1015,65,wind_houses,57,11011
fquest_wind_houses_12,Ветровые Дома: поручение 12,Wind Houses Contract 12,wind_houses,campaign,faction_campaign,"Шаг 12 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,635,retroactive,manual,fquest_wind_houses_11,freight,2339,,,1092,68,wind_houses,60,11012
fquest_wind_houses_13,Ветровые Дома: поручение 13,Wind Houses Contract 13,wind_houses,campaign,faction_campaign,"Шаг 13 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,715,retroactive,manual,fquest_wind_houses_12,freight,2488,,,1168,72,wind_houses,64,11013
fquest_wind_houses_14,Ветровые Дома: поручение 14,Wind Houses Contract 14,wind_houses,campaign,faction_campaign,"Шаг 14 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,806,retroactive,manual,fquest_wind_houses_13,freight,2637,,,1245,75,wind_houses,68,11014
fquest_wind_houses_15,Ветровые Дома: поручение 15,Wind Houses Contract 15,wind_houses,campaign,faction_campaign,"Шаг 15 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,909,retroactive,manual,fquest_wind_houses_14,freight,2786,,,1321,79,wind_houses,71,11015
fquest_wind_houses_16,Ветровые Дома: поручение 16,Wind Houses Contract 16,wind_houses,campaign,faction_campaign,"Шаг 16 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1024,retroactive,manual,fquest_wind_houses_15,freight,2935,,,1398,82,wind_houses,75,11016
fquest_wind_houses_17,Ветровые Дома: поручение 17,Wind Houses Contract 17,wind_houses,campaign,faction_campaign,"Шаг 17 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1154,retroactive,manual,fquest_wind_houses_16,freight,3084,,,1474,86,wind_houses,79,11017
fquest_wind_houses_18,Ветровые Дома: поручение 18,Wind Houses Contract 18,wind_houses,campaign,faction_campaign,"Шаг 18 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1300,retroactive,manual,fquest_wind_houses_17,freight,3233,,,1551,89,wind_houses,82,11018
fquest_wind_houses_19,Ветровые Дома: поручение 19,Wind Houses Contract 19,wind_houses,campaign,faction_campaign,"Шаг 19 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1465,retroactive,manual,fquest_wind_houses_18,freight,3382,,,1628,92,wind_houses,86,11019
fquest_wind_houses_20,Ветровые Дома: поручение 20,Wind Houses Contract 20,wind_houses,campaign,faction_campaign,"Шаг 20 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1651,retroactive,manual,fquest_wind_houses_19,freight,3531,wind_cargo_sling,1,1704,96,wind_houses,90,11020
fquest_wind_houses_21,Ветровые Дома: поручение 21,Wind Houses Contract 21,wind_houses,campaign,faction_campaign,"Шаг 21 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,1860,retroactive,manual,fquest_wind_houses_20,freight,3680,,,1781,99,wind_houses,93,11021
fquest_wind_houses_22,Ветровые Дома: поручение 22,Wind Houses Contract 22,wind_houses,campaign,faction_campaign,"Шаг 22 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,2096,retroactive,manual,fquest_wind_houses_21,freight,3829,,,1857,103,wind_houses,97,11022
fquest_wind_houses_23,Ветровые Дома: поручение 23,Wind Houses Contract 23,wind_houses,campaign,faction_campaign,"Шаг 23 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,2362,retroactive,manual,fquest_wind_houses_22,freight,3978,,,1934,106,wind_houses,101,11023
fquest_wind_houses_24,Ветровые Дома: поручение 24,Wind Houses Contract 24,wind_houses,campaign,faction_campaign,"Шаг 24 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,2662,retroactive,manual,fquest_wind_houses_23,freight,4127,,,2010,110,wind_houses,104,11024
fquest_wind_houses_25,Ветровые Дома: поручение 25,Wind Houses Contract 25,wind_houses,campaign,faction_campaign,"Шаг 25 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,3000,retroactive,manual,fquest_wind_houses_24,freight,4276,,,2087,113,wind_houses,108,11025
fquest_wind_houses_26,Ветровые Дома: поручение 26,Wind Houses Contract 26,wind_houses,campaign,faction_campaign,"Шаг 26 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,3338,retroactive,manual,fquest_wind_houses_25,freight,4424,,,2163,117,wind_houses,112,11026
fquest_wind_houses_27,Ветровые Дома: поручение 27,Wind Houses Contract 27,wind_houses,campaign,faction_campaign,"Шаг 27 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,3713,retroactive,manual,fquest_wind_houses_26,freight,4573,,,2240,120,wind_houses,116,11027
fquest_wind_houses_28,Ветровые Дома: поручение 28,Wind Houses Contract 28,wind_houses,campaign,faction_campaign,"Шаг 28 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,4131,retroactive,manual,fquest_wind_houses_27,freight,4722,,,2316,124,wind_houses,119,11028
fquest_wind_houses_29,Ветровые Дома: поручение 29,Wind Houses Contract 29,wind_houses,campaign,faction_campaign,"Шаг 29 большой цепочки маршрутной сети: закрепите доверие, выполните профильные работы и откройте следующую поставку фракции.",faction_reputation,wind_houses,4596,retroactive,manual,fquest_wind_houses_28,freight,4871,,,2393,127,wind_houses,123,11029
