item_id,local_name_ru,category,value_fe_per_unit,wind_buyback_percent,notes_ru
automaton_mainspring,Заводная пружина,automaton_salvage,550,0.12,Плотный механический накопитель для двигателей и передач.
automaton_pressure_gauge,Манометр,automaton_salvage,650,0.12,Точный прибор давления для насосов промысловых систем.
automaton_calibration_gear,Калибровочная шестерня,automaton_salvage,700,0.12,Высокоточная передача для гироскопов и орудийных блоков.
automaton_servo_joint,Сервошарнир,automaton_salvage,800,0.12,Точный силовой сустав для приводов и ангарных систем.
automaton_optic_lens,Оптическая линза,automaton_salvage,900,0.12,Готовая точная оптика для сенсоров и приборных блоков.
automaton_gyroscope,Гироскопический узел,automaton_salvage,950,0.12,Сложный стабилизирующий узел автоматона.
automaton_logic_drum,Логический барабан,automaton_salvage,1100,0.12,Механическая память для вычислителей.
automaton_command_cylinder,Командный цилиндр,automaton_salvage,1300,0.12,Узел командной последовательности для управления и взлома.
automaton_servo_core,Сердечник сервопривода,automaton_salvage,1600,0.10,Дорогой силовой сердечник для двигателей и крупных блоков.
automaton_core,Ядро,automaton_salvage,2400,0.10,Главный точный узел автоматона для флагманских и блоковых рецептов.
weapon,Оружие,service_item,1200,0.12,Готовый городской комплект стволов башен и пусковых узлов.
munition_bundle,Боекомплект,service_item,900,0.12,Партия зарядов ракет бомб и снарядных расходников.
mechanisms,Механизмы,service_item,600,0.12,Городской набор мелких приводов креплений и сервисных машин.
steel,Сталь,prepared_material,180,0.18,Базовый конструкционный металл.
bronze,Бронза,prepared_material,240,0.18,Износостойкий машинный металл.
brass,Латунь,prepared_material,260,0.18,Арматура клапаны приборные посадки.
elektron,Электрон,prepared_material,300,0.18,Легкий магниевый материал.
bulat,Булат,prepared_material,700,0.16,Прочный металл для брони и тяжелых силовых деталей.
melchior,Мельхиор,prepared_material,520,0.16,Приборный проводящий материал.
invar,Инвар,prepared_material,780,0.16,Стабильный точный металл.
orkit,Оркит,prepared_material,960,0.14,Клавдиево-фульгурный летный силовой материал.
resin,Смола,prepared_material,220,0.18,Герметик и связующее.
rubber,Каучук,prepared_material,300,0.18,Уплотнения подвесы шланги.
bakelite,Бакелит,prepared_material,240,0.18,Жесткий изолятор и корпус приборов.
textolite,Текстолит,prepared_material,380,0.18,Слоистый приборный материал.
fluoroplastic,Фторопласт,prepared_material,820,0.16,Химически стойкий материал для агрессивных газов.
aramid,Арамид,prepared_material,580,0.16,Прочное волокно для тяг тросов и защиты.
siloxane,Силоксан,prepared_material,440,0.17,Гибкий кремнийорганический материал.
glass_ceramic,Стеклокерамика,prepared_material,640,0.16,Оптика жаростойкие вставки и изоляция.
capital_flagship_license,Флагманская лицензия Империи,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Империи; покупается за 700 солидов.
wind_houses_flagship_license,Флагманская лицензия Ветровых Домов,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Ветровых Домов; покупается за 700 солидов.
mist_synod_flagship_license,Флагманская лицензия Туманного Синода,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Туманного Синода; покупается за 700 солидов.
stone_vault_flagship_license,Флагманская лицензия Каменного Свода,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Каменного Свода; покупается за 700 солидов.
factory_ark_flagship_license,Флагманская лицензия Заводных Ковчегов,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Заводных Ковчегов; покупается за 700 солидов.
devourers_flagship_license,Флагманская лицензия Пожирателей,ship_license,5600000,0.00,Одноразовое право собрать один корабль десятого ранга Пожирателей; покупается за 700 солидов.
capital_ordnance_blank,Ордонансная заготовка,faction_component,4000,0.00,Имперская закупочная заготовка для штатного вооружения и силовых рецептов; ценность умеренная, главная роль - залочка доступа.
capital_turret_ring,Башенный погон,faction_component,9000,0.00,Имперская точная круговая опора для башен и крупных приводов.
capital_breech_group,Затворная группа,faction_component,16000,0.00,Имперский готовый узел запирания для орудийных и силовых блоков.
capital_rangefinder_prism,Дальномерная призма,faction_component,28000,0.00,Имперская оптика для дальнего наведения и приборных блоков.
capital_casemate_insert,Казематный вкладыш,faction_component,38000,0.00,Имперская защитная вставка для тяжелых корпусов и R9-R10 сборки.
wind_magnetic_coil,Магнитная катушка,faction_component,3800,0.00,Поставочная катушка Ветровых Домов для магнитов, грузовых систем и промысловых блоков.
wind_turbine_blade,Турбинная лопатка,faction_component,7000,0.00,Легкая лопатка для быстрых ходовых систем и летных блоков.
wind_cargo_sling,Грузовая стропа,faction_component,6500,0.00,Сертифицированная стропа для курьерских и грузовых систем.
wind_course_gyro,Курсовой гироблок,faction_component,14500,0.00,Готовый навигационный узел для быстрых кораблей и дальних маршрутов.
wind_launch_cup,Пусковой стакан,faction_component,23000,0.00,Поставочный стакан для малых ракетных и торпедных систем.
mist_gas_membrane,Газовая мембрана,faction_component,4200,0.00,Синодская мембрана для сифонов, фильтров, тумана и газовой добычи.
mist_separator_cassette,Сепараторная кассета,faction_component,7800,0.00,Готовая кассета для отделения ценных газовых фракций.
mist_polymer_cell,Полимерная сотка,faction_component,15000,0.00,Сотовая полимерная вставка для легких корпусов и ремонтных систем.
mist_pyrophoric_paste,Пирофорная паста,faction_component,26000,0.00,Синодская химическая паста для фугасных, дымовых и едких систем.
mist_cartridge,Туманный картридж,faction_component,24000,0.00,Расходный картридж для постановки тумана и газовых экранов.
stone_crushing_crown,Дробильный венец,faction_component,4500,0.00,Сводовый венец для дробилок, рудных жерл и тяжелой добычи.
stone_throat_grate,Жерловая решетка,faction_component,8000,0.00,Износостойкая решетка приемного горла для руды и промысловых блоков.
stone_armor_wedge,Броневой клин,faction_component,17000,0.00,Клиновая броневая вставка для верхней защиты и тяжелых корпусов.
stone_gun_cradle,Орудийная люлька,faction_component,28000,0.00,Сводовая люлька для медленных тяжелых орудий и R8-R10 блоков.
stone_quarry_insert,Карьерный вкладыш,faction_component,25000,0.00,Сменный вкладыш для сверхтвердой добычи и рудных блоков.
ark_precision_drive,Точный привод,faction_component,4700,0.00,Ковчежный привод для автоматизации, X-Ray и машинно-приборных рецептов.
ark_servo_ring,Сервокольцо,faction_component,8500,0.00,Точный кольцевой сервопривод для дронов, турелей и ангаров.
ark_counting_cell,Счетная ячейка,faction_component,16000,0.00,Механическая вычислительная ячейка для сенсоров и взлома.
ark_repair_lens,Ремонтная линза,faction_component,30000,0.00,Оптический узел для ремонтных лучей и точного восстановления.
ark_hangar_cradle,Ангарная люлька,faction_component,26000,0.00,Готовая люлька для запуска автоматонов и ангарных блоков.
dev_harpoon_winch,Гарпунная лебедка,faction_component,5000,0.00,Пожирательская лебедка для гарпунов, буксировки и удержания туш.
dev_tension_drum,Натяжной барабан,faction_component,9000,0.00,Барабан тяги для тросов, цепей и охотничьих систем.
dev_hook_chain,Крюковая цепь,faction_component,17000,0.00,Закаленная цепь для захвата добычи и грузовых силовых блоков.
dev_bone_cutter,Костяной резец,faction_component,29000,0.00,Резец для разделки крупных туш и промысловых систем.
dev_bomb_cowling,Бомбовый кожух,faction_component,25000,0.00,Защитный кожух для бомбовых, гарпунных и близких ударных узлов.
