building_id,local_name_ru,group,kind,max_level,anchor_unlock_level,build_slot_type,infra_cost_l1,pop_cost_l1,scales_with_level,primary_config,primary_screen,role_ru
cartography_room,Картографическая палата,research,maps,30,3,unique,3,10,yes,mission_baseline,MissionSelectionScreen,Открывает миссионные профили разведданные и маршруты
fleet_development_bureau,Бюро корабельного развития,progression,ship_tree,30,2,unique,3,10,yes,rank_budget,DevelopmentTreeScreen,Деревья кораблей опыт веток свободный опыт и открытие рецептов
captain_journal,Капитанский журнал,progression,achievements,30,1,unique,0,0,no,mastery_curve; achievement_templates,IslandMainScreen,Достижения освоение титулы косметика и одноразовые награды
quest_board,Доска поручений,progression,daily_tasks,30,3,unique,1,4,yes,faction_quest_templates,IslandMainScreen,Сводка ежедневок кампаний фракций и переход к источнику задания
courier_service,Курьерская служба,orders,courier,30,3,unique,5,14,yes,courier_orders,CourierServiceScreen,Восемь площадок малых заказов Ветровых Домов с отменой 15 минут
capital_airdock,Столичный аэродром,orders,capital_order,30,5,unique,7,18,yes,capital_airplane,CapitalOrderScreen,Ежедневный крупный заказ столицы и основной регулярный solid
trader_pavilion,Торговая площадь,markets,faction_markets,30,4,unique,4,12,yes,faction_markets; faction_quest_templates,TraderWarrior,Павильоны фракций магазины ежедневки репутация и цепочки заданий
imperial_embassy,Имперское представительство,markets,hard_currency,30,6,unique,5,16,yes,currency_value; faction_markets,TraderWarrior,Магазин имперцев за солиды и задания представителя столицы
bundle_kiosk,Лавка предложений,markets,bundles,30,4,unique,2,6,no,bundle_shop; recharge_track,StoreScreen,Бандлы за hard currency недельный recharge и история покупок
event_pavilion,Павильон событий,events,event_router,30,4,unique,3,8,no,ship_event_overview,EventTasks,Вход в тематические события магазины рулетки задания и награды
container_yard,Склад контейнеров,inventory,containers,30,3,unique,3,8,yes,container_loot,InventoryScreen,Открытие обычных и ключевых контейнеров массовыми пачками
coal_mine,Угольная штольня,idle,coal,30,2,resource_node,2,10,yes,activity_budget,IdleExtractionScreen,Пассивная добыча угля с лимитом склада и назначением корабля
water_collector,Водосборник,idle,water,30,2,resource_node,2,8,yes,activity_budget,IdleExtractionScreen,Пассивный сбор воды и простого конденсата
freight_office,Фрахтовая контора,idle,freight,30,3,unique,3,10,yes,activity_budget,IdleExtractionScreen,Медленный пассивный источник фрахтов и денежный сбор
cladium_still,Клавдиевый отстойник,idle,cladium,30,5,resource_node,4,12,yes,activity_budget,IdleExtractionScreen,Редкий пассивный сбор клавдиевых следов для поздних рецептов
clearing_camp,Лагерь расчистки,island,clearing,30,1,unique,2,10,yes,island_expansion,IslandMainScreen,Расчищает участки острова и открывает места здания реликты и доки
relic_garden,Сад городских реликтов,island,decor_bonus,30,6,decor,1,4,yes,achievement_templates,IslandMainScreen,Декорации и реликты с малыми постоянными бонусами
specialist_guild,Гильдия специалистов,staff,specialists,30,7,unique,3,8,yes,port_building_level_curve,IslandMainScreen,Назначение специалистов в здания и рост их лимита
contract_port,Вахтовый порт,logistics,npc_assignment,30,8,shore,5,16,yes,activity_budget,IdleExtractionScreen,Пассивные назначения кораблей вне активного дока и контрактные слоты
