ship_id,local_name_ru,faction_id,ship_class_id,primary_activity,craft_full_eff_fe,target_fe_per_elite_sortie_for_5_sortie_payback,modeled_total_value_fe,modeled_liquid_fe,required_payload,payload_source_id,payload_details,payload_value_fe,payload_vs_target
factory_ark_automaton_tender_frigate_r10,Тендер,factory_ark,frigate,salvage,14308241.00,2861648.20,2230922.79,1757696.74,точный сальваж 1920 узлов,automaton_precision_bundle,automaton_core 406 шт.; automaton_servo_core 430 шт.; automaton_command_cylinder 375 шт.; automaton_logic_drum 339 шт.; automaton_gyroscope 211 шт.; automaton_optic_lens 159 шт.,2866350.00,1.00
factory_ark_combat_ark_cruiser_r10,Армада,factory_ark,cruiser,combat,17477642.00,3495528.40,4367641.97,2820248.81,боевой контракт на 3495528 FE+ ценности,combat,фрахт 1098150 FE; добыча/трофеи 499159 FE; профильная валюта 124790 FE; репутация 74874 FE; инфа 0 FE; материальное 623949 FE; нематериальное 1871847 FE; бонус выхода 1871847 FE,4367641.97,1.25
factory_ark_escort_frigate_r10,Эскорт,factory_ark,frigate,repair,13612649.00,2722529.80,2942723.39,958864.93,ремонтный контракт на 2722530 FE+ ценности,repair,фрахт 297579 FE; добыча/трофеи 297579 FE; профильная валюта 66129 FE; репутация 760479 FE; инфа 0 FE; материальное 363707 FE; нематериальное 1289508 FE; бонус выхода 1289508 FE,2942723.39,1.08
factory_ark_mechanized_citadel_battleship_r10,Архимашина,factory_ark,battleship,combat,21884963.00,4376992.60,4789659.35,3092751.46,боевой контракт на 4376993 FE+ ценности,combat,фрахт 1204257 FE; добыча/трофеи 547390 FE; профильная валюта 136847 FE; репутация 82108 FE; инфа 0 FE; материальное 684237 FE; нематериальное 2052711 FE; бонус выхода 2052711 FE,4789659.35,1.09
factory_ark_modular_survey_cruiser_r10,Синтакс,factory_ark,cruiser,relic,16851352.00,3370270.40,3370270.40,1106655.95,5 дорогих вскрытий реликтов,expensive_relic_decode,"дорогие вскрытия 5 шт.; ориентир: SP-пакеты, чертежи, одноразовые рецепты, лицензии",3600000.00,1.07
factory_ark_x_ray_scout_frigate_r10,Спектр,factory_ark,frigate,courier,13384194.00,2676838.80,1838991.26,785298.97,курьерский контракт на 2676839 FE+ ценности,courier,фрахт 318096 FE; добыча/трофеи 119286 FE; профильная валюта 29821 FE; репутация 417501 FE; инфа 0 FE; материальное 149107 FE; нематериальное 844942 FE; бонус выхода 844942 FE,1838991.26,0.69
mist_synod_chemical_cruiser_r10,Формула,mist_synod,cruiser,gas,16608722.00,3321744.40,3321744.40,2732402.65,void_smoke 5.5 т конденсата,void_smoke,nulgas 5.5 т,3321744.40,1.00
mist_synod_dome_recon_frigate_r10,Покров,mist_synod,frigate,courier,13480867.00,2696173.40,2483470.30,1060508.94,курьерский контракт на 2696173 FE+ ценности,courier,фрахт 429573 FE; добыча/трофеи 161090 FE; профильная валюта 40272 FE; репутация 563815 FE; инфа 0 FE; материальное 201362 FE; нематериальное 1141054 FE; бонус выхода 1141054 FE,2483470.30,0.92
mist_synod_gas_combine_battleship_r10,Комбинат,mist_synod,battleship,gas,22128254.00,4425650.80,4425650.80,3640454.69,void_smoke 7.4 т конденсата,void_smoke,nulgas 7.4 т,4425650.80,1.00
mist_synod_gunline_cruiser_r10,Пирофор,mist_synod,cruiser,combat,16286913.00,3257382.60,4021605.85,2596808.35,боевой контракт на 3257383 FE+ ценности,combat,фрахт 1011147 FE; добыча/трофеи 459612 FE; профильная валюта 114903 FE; репутация 68942 FE; инфа 0 FE; материальное 574515 FE; нематериальное 1723545 FE; бонус выхода 1723545 FE,4021605.85,1.23
mist_synod_heavy_egg_battleship_r10,Инферно,mist_synod,battleship,combat,21441297.00,4288259.40,4684375.59,3024768.24,боевой контракт на 4288259 FE+ ценности,combat,фрахт 1177786 FE; добыча/трофеи 535357 FE; профильная валюта 133839 FE; репутация 80304 FE; инфа 0 FE; материальное 669197 FE; нематериальное 2007590 FE; бонус выхода 2007590 FE,4684375.59,1.09
mist_synod_repair_cruiser_r10,Амальгама,mist_synod,cruiser,repair,17453479.00,3490695.80,4518883.35,1472445.14,ремонтный контракт на 3490696 FE+ ценности,repair,фрахт 456966 FE; добыча/трофеи 456966 FE; профильная валюта 101548 FE; репутация 1167801 FE; инфа 0 FE; материальное 558514 FE; нематериальное 1980185 FE; бонус выхода 1980185 FE,4518883.35,1.29
mist_synod_siphon_scout_frigate_r10,Нимб,mist_synod,frigate,gas,13193365.00,2638673.00,2638673.00,2170521.34,void_smoke 4.4 т конденсата,void_smoke,nulgas 4.4 т,2638673.00,1.00
mist_synod_toxic_cloud_cruiser_r10,Каустик,mist_synod,cruiser,combat,17340623.00,3468124.60,4106688.36,2651747.34,боевой контракт на 3468125 FE+ ценности,combat,фрахт 1032539 FE; добыча/трофеи 469336 FE; профильная валюта 117334 FE; репутация 70400 FE; инфа 0 FE; материальное 586670 FE; нематериальное 1760009 FE; бонус выхода 1760009 FE,4106688.36,1.18
stone_vault_armored_gun_cruiser_r10,Бастион,stone_vault,cruiser,combat,16722679.00,3344535.80,4296151.74,2774086.55,боевой контракт на 3344536 FE+ ценности,combat,фрахт 1080175 FE; добыча/трофеи 490989 FE; профильная валюта 122747 FE; репутация 73648 FE; инфа 0 FE; материальное 613736 FE; нематериальное 1841208 FE; бонус выхода 1841208 FE,4296151.74,1.28
stone_vault_heavy_gun_battleship_r10,Громада,stone_vault,battleship,combat,21149649.00,4229929.80,4229929.80,2731326.10,боевой контракт на 4229930 FE+ ценности,combat,фрахт 1063525 FE; добыча/трофеи 483421 FE; профильная валюта 120855 FE; репутация 72513 FE; инфа 0 FE; материальное 604276 FE; нематериальное 1812827 FE; бонус выхода 1812827 FE,4229929.80,1.00
stone_vault_magnet_hauler_cruiser_r10,Титанит,stone_vault,cruiser,mining,16107367.00,3221473.40,3221473.40,2701880.92,glass_vein 84.6 т сырья,glass_vein,quartz 27.1 т; claudium 1.7 т; monazite 846 кг; gems 1.0 т,3221473.40,1.00
stone_vault_ore_foundry_battleship_r10,Завод,stone_vault,battleship,mining,21292123.00,4258424.60,4258424.60,3571581.92,royal_vein 38.7 т сырья,royal_vein,copper 9.7 т; quartz 1.5 т; claudium 774 кг; monazite 774 кг; gems 1.9 т,4258424.60,1.00
stone_vault_ore_tug_frigate_r10,Карьер,stone_vault,frigate,courier,13780203.00,2756040.60,1739476.70,742803.56,курьерский контракт на 2756041 FE+ ценности,courier,фрахт 300882 FE; добыча/трофеи 112831 FE; профильная валюта 28208 FE; репутация 394908 FE; инфа 0 FE; материальное 141039 FE; нематериальное 799219 FE; бонус выхода 799219 FE,1739476.70,0.63
stone_vault_refinery_cruiser_r10,Рафинад,stone_vault,cruiser,mining,17666321.00,3533264.20,3533264.20,2963382.88,royal_vein 32.1 т сырья,royal_vein,copper 8.0 т; quartz 1.3 т; claudium 642 кг; monazite 642 кг; gems 1.6 т,3533264.20,1.00
stone_vault_single_gun_line_frigate_r10,Монолит,stone_vault,frigate,combat,13493640.00,2698728.00,2958349.26,1910248.38,боевой контракт на 2698728 FE+ ценности,combat,фрахт 743814 FE; добыча/трофеи 338097 FE; профильная валюта 84524 FE; репутация 50715 FE; инфа 0 FE; материальное 422621 FE; нематериальное 1267864 FE; бонус выхода 1267864 FE,2958349.26,1.10
wind_houses_cargo_frigate_r10,Вьюнок,wind_houses,frigate,courier,13211119.00,2642223.80,3568056.17,1523656.42,курьерский контракт на 2642224 FE+ ценности,courier,фрахт 617177 FE; добыча/трофеи 231441 FE; профильная валюта 57860 FE; репутация 810045 FE; инфа 0 FE; материальное 289302 FE; нематериальное 1639377 FE; бонус выхода 1639377 FE,3568056.17,1.35
wind_houses_combat_cruiser_r10,Циклон,wind_houses,cruiser,combat,16683068.00,3336613.60,4212023.29,2719763.61,боевой контракт на 3336614 FE+ ценности,combat,фрахт 1059023 FE; добыча/трофеи 481374 FE; профильная валюта 120344 FE; репутация 72206 FE; инфа 0 FE; материальное 601718 FE; нематериальное 1805153 FE; бонус выхода 1805153 FE,4212023.29,1.26
wind_houses_combat_frigate_r10,Шторм,wind_houses,frigate,combat,14155927.00,2831185.40,3050376.33,1969671.57,боевой контракт на 2831185 FE+ ценности,combat,фрахт 766952 FE; добыча/трофеи 348614 FE; профильная валюта 87154 FE; репутация 52292 FE; инфа 0 FE; материальное 435768 FE; нематериальное 1307304 FE; бонус выхода 1307304 FE,3050376.33,1.08
wind_houses_industrial_battleship_r10,Монсун,wind_houses,battleship,salvage,23484532.00,4696906.40,4696906.40,3700592.92,точный сальваж 3150 узлов,automaton_precision_bundle,automaton_core 666 шт.; automaton_servo_core 705 шт.; automaton_command_cylinder 615 шт.; automaton_logic_drum 556 шт.; automaton_gyroscope 347 шт.; automaton_optic_lens 261 шт.,4702050.00,1.00
wind_houses_industrial_cruiser_r10,Магистраль,wind_houses,cruiser,mining,17856499.00,3571299.80,3571299.80,2995283.70,glass_vein 93.7 т сырья,glass_vein,quartz 30.0 т; claudium 1.9 т; monazite 937 кг; gems 1.1 т,3571299.80,1.00
wind_houses_light_interceptor_cruiser_r10,Фалькон,wind_houses,cruiser,combat,16804603.00,3360920.60,4020942.41,2596379.96,боевой контракт на 3360921 FE+ ценности,combat,фрахт 1010980 FE; добыча/трофеи 459536 FE; профильная валюта 114884 FE; репутация 68930 FE; инфа 0 FE; материальное 574420 FE; нематериальное 1723261 FE; бонус выхода 1723261 FE,4020942.41,1.20
wind_houses_light_research_frigate_r10,Зефир,wind_houses,frigate,courier,13335721.00,2667144.20,2224935.26,950107.49,курьерский контракт на 2667144 FE+ ценности,courier,фрахт 384854 FE; добыча/трофеи 144320 FE; профильная валюта 36080 FE; репутация 505120 FE; инфа 0 FE; материальное 180400 FE; нематериальное 1022268 FE; бонус выхода 1022268 FE,2224935.26,0.83
wind_houses_repair_battleship_r10,Маяк,wind_houses,battleship,repair,22099868.00,4419973.60,4679799.68,1524878.55,ремонтный контракт на 4419974 FE+ ценности,repair,фрахт 473238 FE; добыча/трофеи 473238 FE; профильная валюта 105164 FE; репутация 1209386 FE; инфа 0 FE; материальное 578402 FE; нематериальное 2050699 FE; бонус выхода 2050699 FE,4679799.68,1.06
wind_houses_torpedo_recon_cruiser_r10,Комета,wind_houses,cruiser,combat,16989953.00,3397990.60,4343043.27,2804365.09,боевой контракт на 3397991 FE+ ценности,combat,фрахт 1091965 FE; добыча/трофеи 496348 FE; профильная валюта 124087 FE; репутация 74452 FE; инфа 0 FE; материальное 620435 FE; нематериальное 1861304 FE; бонус выхода 1861304 FE,4343043.27,1.28
